name,sku,barcode,brand,category,price,description,size,gender,image_url
My Konos Royal Ispahan,,,,Perfume,35000,,,,
CUDLLE Bedak Bayi,,,,Perfume,25000,,,,
My Konos Monaco Royal,,,,Perfume,35000,,,,
Aqua Kiss,,,,Perfume,35000,,,,
Fresh Orange,,,,Perfume,35000,,,,
Mix Aroma Unisex Cowo-Cewe,,,,Mix Perfume,55000,,,,
Nagita Slavina,,,,Perfume,35000,,,,
Black Opium,,,,Perfume,35000,,,,
My Konos California Blue,,,,Perfume,35000,,,,
Romantic,,,,Perfume,35000,,,,
Blue Emotion,,,,Perfume,25000,,,,
Dunhill Blue,,,,Perfume,35000,,,,
Hawas Ice,,,,Perfume,25000,,,,
My Way,,,,Perfume,25000,,,,
Pink Chiffon,,,,Perfume,35000,,,,
Scandalous,,,,Perfume,35000,,,,
My Konos Glitch,,,,Perfume,35000,,,,
Mix Dunhill Blue x Scandal,,,,Mix Perfume,55000,,,,
9 PM Reborn,,,,Perfume,35000,,,,
Avril F Rose,,,,Perfume,25000,,,,
212 VIP Man,,,,Perfume,25000,,,,
Candy Love,,,,Perfume,25000,,,,
Bomshell,,,,Perfume,25000,,,,
